연도,대분류,중분류,대분류_지출비율,중분류_지출비율,연도_날짜
2020,쇼핑업,기타관광쇼핑,54.1,21.8,2020-01-01
2020,쇼핑업,대형쇼핑몰,54.1,76.6,2020-01-01
2020,쇼핑업,레저용품쇼핑,54.1,1.6,2020-01-01
2020,쇼핑업,면세점,54.1,0.0,2020-01-01
2020,숙박업,기타숙박,1.8,58.2,2020-01-01
2020,숙박업,캠핑장/펜션,1.8,1.3,2020-01-01
2020,숙박업,호텔,1.8,40.6,2020-01-01
2020,식음료업,일반외식업,34.3,87.7,2020-01-01
2020,식음료업,제과음료업,34.3,12.3,2020-01-01
2020,여가서비스업,골프장,2.4,33.5,2020-01-01
2020,여가서비스업,관광유원시설,2.4,1.3,2020-01-01
2020,여가서비스업,기타레저,2.4,53.9,2020-01-01
2020,여가서비스업,문화서비스,2.4,11.3,2020-01-01
2020,여행업,여행업,0.0,100.0,2020-01-01
2020,운송업,렌터카,3.8,4.2,2020-01-01
2020,운송업,육상운송,3.8,95.8,2020-01-01
2020,의료웰니스업,뷰티,3.6,70.0,2020-01-01
2020,의료웰니스업,의료관광,3.6,30.0,2020-01-01
2020,쇼핑업,면세점,20.3,0.0,2020-01-01
2020,쇼핑업,대형쇼핑몰,20.3,67.2,2020-01-01
2020,쇼핑업,레저용품쇼핑,20.3,1.1,2020-01-01
2020,쇼핑업,기타관광쇼핑,20.3,31.7,2020-01-01
2020,숙박업,호텔,60.4,80.5,2020-01-01
2020,숙박업,캠핑장/펜션,60.4,0.1,2020-01-01
2020,숙박업,기타숙박,60.4,19.4,2020-01-01
2020,식음료업,일반외식업,13.2,93.3,2020-01-01
2020,식음료업,제과음료업,13.2,6.7,2020-01-01
2020,여가서비스업,관광유원시설,0.6,8.1,2020-01-01
2020,여가서비스업,골프장,0.6,13.9,2020-01-01
2020,여가서비스업,기타레저,0.6,70.6,2020-01-01
2020,여가서비스업,문화서비스,0.6,7.5,2020-01-01
2020,운송업,육상운송,0.5,41.5,2020-01-01
2020,운송업,렌터카,0.5,58.5,2020-01-01
2020,의료웰니스업,의료관광,4.9,77.0,2020-01-01
2020,의료웰니스업,뷰티,4.9,23.0,2020-01-01
2021,쇼핑업,기타관광쇼핑,56.7,23.0,2021-01-01
2021,쇼핑업,대형쇼핑몰,56.7,75.6,2021-01-01
2021,쇼핑업,레저용품쇼핑,56.7,1.4,2021-01-01
2021,쇼핑업,면세점,56.7,0.0,2021-01-01
2021,숙박업,기타숙박,1.7,50.7,2021-01-01
2021,숙박업,캠핑장/펜션,1.7,1.2,2021-01-01
2021,숙박업,호텔,1.7,48.1,2021-01-01
2021,식음료업,일반외식업,31.8,85.8,2021-01-01
2021,식음료업,제과음료업,31.8,14.2,2021-01-01
2021,여가서비스업,골프장,2.3,41.5,2021-01-01
2021,여가서비스업,관광유원시설,2.3,2.2,2021-01-01
2021,여가서비스업,기타레저,2.3,46.5,2021-01-01
2021,여가서비스업,문화서비스,2.3,9.8,2021-01-01
2021,여행업,여행업,0.0,100.0,2021-01-01
2021,운송업,렌터카,3.9,3.8,2021-01-01
2021,운송업,육상운송,3.9,96.2,2021-01-01
2021,의료웰니스업,뷰티,3.6,70.4,2021-01-01
2021,의료웰니스업,의료관광,3.6,29.6,2021-01-01
2021,쇼핑업,레저용품쇼핑,17.7,1.2,2021-01-01
2021,쇼핑업,대형쇼핑몰,17.7,64.0,2021-01-01
2021,쇼핑업,기타관광쇼핑,17.7,34.7,2021-01-01
2021,숙박업,기타숙박,61.6,10.1,2021-01-01
2021,숙박업,호텔,61.6,89.8,2021-01-01
2021,숙박업,캠핑장/펜션,61.6,0.1,2021-01-01
2021,식음료업,제과음료업,13.1,8.5,2021-01-01
2021,식음료업,일반외식업,13.1,91.5,2021-01-01
2021,여가서비스업,관광유원시설,0.8,10.2,2021-01-01
2021,여가서비스업,문화서비스,0.8,13.7,2021-01-01
2021,여가서비스업,골프장,0.8,26.6,2021-01-01
2021,여가서비스업,기타레저,0.8,49.5,2021-01-01
2021,여행업,여행업,0.0,100.0,2021-01-01
2021,운송업,렌터카,0.6,59.8,2021-01-01
2021,운송업,육상운송,0.6,40.2,2021-01-01
2021,의료웰니스업,의료관광,6.4,83.4,2021-01-01
2021,의료웰니스업,뷰티,6.4,16.6,2021-01-01
2022,쇼핑업,기타관광쇼핑,50.1,24.6,2022-01-01
2022,쇼핑업,대형쇼핑몰,50.1,74.0,2022-01-01
2022,쇼핑업,레저용품쇼핑,50.1,1.4,2022-01-01
2022,숙박업,기타숙박,2.0,41.5,2022-01-01
2022,숙박업,캠핑장/펜션,2.0,0.9,2022-01-01
2022,숙박업,호텔,2.0,57.7,2022-01-01
2022,식음료업,일반외식업,38.0,87.0,2022-01-01
2022,식음료업,제과음료업,38.0,13.0,2022-01-01
2022,여가서비스업,골프장,2.7,32.9,2022-01-01
2022,여가서비스업,관광유원시설,2.7,2.4,2022-01-01
2022,여가서비스업,기타레저,2.7,50.6,2022-01-01
2022,여가서비스업,문화서비스,2.7,14.1,2022-01-01
2022,여행업,여행업,0.1,100.0,2022-01-01
2022,운송업,렌터카,3.8,2.4,2022-01-01
2022,운송업,육상운송,3.8,97.6,2022-01-01
2022,의료웰니스업,뷰티,3.4,65.2,2022-01-01
2022,의료웰니스업,의료관광,3.4,34.8,2022-01-01
2022,쇼핑업,대형쇼핑몰,12.2,67.3,2022-01-01
2022,쇼핑업,레저용품쇼핑,12.2,1.4,2022-01-01
2022,쇼핑업,기타관광쇼핑,12.2,31.3,2022-01-01
2022,숙박업,호텔,69.0,87.7,2022-01-01
2022,숙박업,캠핑장/펜션,69.0,0.1,2022-01-01
2022,숙박업,기타숙박,69.0,12.2,2022-01-01
2022,식음료업,일반외식업,13.3,92.4,2022-01-01
2022,식음료업,제과음료업,13.3,7.6,2022-01-01
2022,여가서비스업,관광유원시설,0.6,11.6,2022-01-01
2022,여가서비스업,골프장,0.6,20.9,2022-01-01
2022,여가서비스업,기타레저,0.6,54.8,2022-01-01
2022,여가서비스업,문화서비스,0.6,12.7,2022-01-01
2022,여행업,여행업,0.0,100.0,2022-01-01
2022,운송업,육상운송,0.3,46.8,2022-01-01
2022,운송업,렌터카,0.3,53.2,2022-01-01
2022,의료웰니스업,의료관광,4.6,81.5,2022-01-01
2022,의료웰니스업,뷰티,4.6,18.5,2022-01-01
2023,쇼핑업,기타관광쇼핑,47.5,28.2,2023-01-01
2023,쇼핑업,대형쇼핑몰,47.5,70.3,2023-01-01
2023,쇼핑업,레저용품쇼핑,47.5,1.6,2023-01-01
2023,숙박업,기타숙박,2.2,42.5,2023-01-01
2023,숙박업,캠핑장/펜션,2.2,0.8,2023-01-01
2023,숙박업,호텔,2.2,56.7,2023-01-01
2023,식음료업,일반외식업,40.8,86.9,2023-01-01
2023,식음료업,제과음료업,40.8,13.1,2023-01-01
2023,여가서비스업,골프장,2.6,29.8,2023-01-01
2023,여가서비스업,관광유원시설,2.6,2.2,2023-01-01
2023,여가서비스업,기타레저,2.6,55.4,2023-01-01
2023,여가서비스업,문화서비스,2.6,12.6,2023-01-01
2023,여행업,여행업,0.1,100.0,2023-01-01
2023,운송업,렌터카,3.2,2.8,2023-01-01
2023,운송업,육상운송,3.2,97.2,2023-01-01
2023,의료웰니스업,뷰티,3.5,60.2,2023-01-01
2023,의료웰니스업,의료관광,3.5,39.8,2023-01-01
2023,쇼핑업,레저용품쇼핑,11.9,1.4,2023-01-01
2023,쇼핑업,대형쇼핑몰,11.9,63.8,2023-01-01
2023,쇼핑업,기타관광쇼핑,11.9,34.8,2023-01-01
2023,숙박업,기타숙박,66.0,17.3,2023-01-01
2023,숙박업,호텔,66.0,82.6,2023-01-01
2023,숙박업,캠핑장/펜션,66.0,0.1,2023-01-01
2023,식음료업,제과음료업,16.6,8.1,2023-01-01
2023,식음료업,일반외식업,16.6,91.9,2023-01-01
2023,여가서비스업,관광유원시설,0.6,16.5,2023-01-01
2023,여가서비스업,문화서비스,0.6,5.4,2023-01-01
2023,여가서비스업,골프장,0.6,19.4,2023-01-01
2023,여가서비스업,기타레저,0.6,58.7,2023-01-01
2023,여행업,여행업,0.0,100.0,2023-01-01
2023,운송업,렌터카,0.5,70.4,2023-01-01
2023,운송업,육상운송,0.5,29.6,2023-01-01
2023,의료웰니스업,의료관광,4.4,78.1,2023-01-01
2023,의료웰니스업,뷰티,4.4,21.9,2023-01-01
2024,쇼핑업,기타관광쇼핑,48.6,26.6,2024-01-01
2024,쇼핑업,대형쇼핑몰,48.6,71.8,2024-01-01
2024,쇼핑업,레저용품쇼핑,48.6,1.6,2024-01-01
2024,숙박업,기타숙박,2.0,48.4,2024-01-01
2024,숙박업,캠핑장/펜션,2.0,0.8,2024-01-01
2024,숙박업,호텔,2.0,50.7,2024-01-01
2024,식음료업,일반외식업,40.2,86.7,2024-01-01
2024,식음료업,제과음료업,40.2,13.3,2024-01-01
2024,여가서비스업,골프장,2.5,27.1,2024-01-01
2024,여가서비스업,관광유원시설,2.5,2.2,2024-01-01
2024,여가서비스업,기타레저,2.5,54.3,2024-01-01
2024,여가서비스업,문화서비스,2.5,16.4,2024-01-01
2024,여행업,여행업,0.1,100.0,2024-01-01
2024,운송업,렌터카,3.1,2.6,2024-01-01
2024,운송업,육상운송,3.1,97.4,2024-01-01
2024,의료웰니스업,뷰티,3.4,62.7,2024-01-01
2024,의료웰니스업,의료관광,3.4,37.3,2024-01-01
2024,쇼핑업,레저용품쇼핑,14.1,2.8,2024-01-01
2024,쇼핑업,대형쇼핑몰,14.1,59.7,2024-01-01
2024,쇼핑업,기타관광쇼핑,14.1,37.5,2024-01-01
2024,숙박업,기타숙박,56.2,20.6,2024-01-01
2024,숙박업,호텔,56.2,78.4,2024-01-01
2024,숙박업,캠핑장/펜션,56.2,0.9,2024-01-01
2024,식음료업,제과음료업,23.1,9.4,2024-01-01
2024,식음료업,일반외식업,23.1,90.6,2024-01-01
2024,여가서비스업,관광유원시설,0.9,16.4,2024-01-01
2024,여가서비스업,문화서비스,0.9,8.3,2024-01-01
2024,여가서비스업,골프장,0.9,21.4,2024-01-01
2024,여가서비스업,기타레저,0.9,54.0,2024-01-01
2024,여행업,여행업,0.0,100.0,2024-01-01
2024,운송업,렌터카,0.7,74.8,2024-01-01
2024,운송업,육상운송,0.7,25.2,2024-01-01
2024,의료웰니스업,의료관광,5.0,75.4,2024-01-01
2024,의료웰니스업,뷰티,5.0,24.6,2024-01-01
2025,쇼핑업,기타관광쇼핑,46.9,28.5,2025-01-01
2025,쇼핑업,대형쇼핑몰,46.9,69.8,2025-01-01
2025,쇼핑업,레저용품쇼핑,46.9,1.7,2025-01-01
2025,숙박업,기타숙박,1.8,49.9,2025-01-01
2025,숙박업,캠핑장/펜션,1.8,0.6,2025-01-01
2025,숙박업,호텔,1.8,49.5,2025-01-01
2025,식음료업,일반외식업,42.0,86.8,2025-01-01
2025,식음료업,제과음료업,42.0,13.2,2025-01-01
2025,여가서비스업,골프장,2.7,24.7,2025-01-01
2025,여가서비스업,관광유원시설,2.7,1.2,2025-01-01
2025,여가서비스업,기타레저,2.7,60.3,2025-01-01
2025,여가서비스업,문화서비스,2.7,13.8,2025-01-01
2025,여행업,여행업,0.2,100.0,2025-01-01
2025,운송업,렌터카,2.9,2.1,2025-01-01
2025,운송업,육상운송,2.9,97.9,2025-01-01
2025,의료웰니스업,뷰티,3.5,64.4,2025-01-01
2025,의료웰니스업,의료관광,3.5,35.6,2025-01-01
2025,쇼핑업,대형쇼핑몰,16.0,55.1,2025-01-01
2025,쇼핑업,레저용품쇼핑,16.0,2.7,2025-01-01
2025,쇼핑업,기타관광쇼핑,16.0,42.3,2025-01-01
2025,숙박업,호텔,47.3,77.1,2025-01-01
2025,숙박업,캠핑장/펜션,47.3,0.1,2025-01-01
2025,숙박업,기타숙박,47.3,22.9,2025-01-01
2025,식음료업,일반외식업,28.1,89.2,2025-01-01
2025,식음료업,제과음료업,28.1,10.8,2025-01-01
2025,여가서비스업,관광유원시설,0.9,8.8,2025-01-01
2025,여가서비스업,골프장,0.9,17.1,2025-01-01
2025,여가서비스업,기타레저,0.9,64.1,2025-01-01
2025,여가서비스업,문화서비스,0.9,9.9,2025-01-01
2025,운송업,육상운송,0.7,28.0,2025-01-01
2025,운송업,렌터카,0.7,72.0,2025-01-01
2025,의료웰니스업,의료관광,6.9,76.4,2025-01-01
2025,의료웰니스업,뷰티,6.9,23.6,2025-01-01
